12046,16,45.9014
T1698,20,161.0977
T1702,20,22.9972
T1699,20,22.4302
15087,20,26.7397
15088,20,40.4495
Nulo
Nulo
T1944,25,49.2251
T1950,25,65.2775
T1956,24,57.8848
T1957,22,56.2588
T2052,11,46.6327
T2060,3,54.8967
T2051,22,47.699
T2055,22,63.2026
T2059,22,56.0361
T1617,1,61.2338
T1097,1,105.262
T1098,1,134.6732
T1094,14,104.8203
T1936,4,60.635
T1939,2,28.6887
T1970,20,56.322
T2112,28,25.0951
T1545,10,27.4908
T1810,2,49.983
T1829,1,51.8087
T1815,7,54.1823
Nulo
Nulo
71138,20,88.4437
71140,20,88.4314
T2084,8,71.7915
T2088,11,47.6894
T2092,5,26.1917
T2097,15,21.2748
T2102,13,37.4612
T2077,10,53.0785
T2083,15,59.4499
T2082,5,56.1769
Nulo
T2081,5,56.9865
Nulo
T1238,1,170.2469
T1835,2,124.2507
T1838,1,132.6958
T1374,11,157.8076
T1418,4,114.7337
T1288,5,114.1437
T1273,10,115.439
T1416,2,112.9255
T1407,1,112.0491
T1401,18,361.9752
T1397,18,274.2633
T1412,3,127.6744
T1285,4,127.7054
T1276,12,125.9637
T1456,5,164.7726
T1454,4,161.1876
T1368,4,250.0867
T1372,17,252.1949
T1414,18,123.1133
T2121,16,124.1222
T1453,13,162.8117
T1836,7,155.7932
T1349,18,260.948
T1375,6,206.5893
T1419,4,158.6584
T1408,3,155.096
T1398,25,338.9537
T1413,1,176.7575
T1287,2,175.6912
T1293,1,176.8329
T1296,1,183.4165
T1299,3,182.2429
T1278,23,174.3302
T1303,23,271.6623
T1301,11,326.265
T1369,16,315.6739
T1373,25,317.8714
T1415,24,170.8545
T2122,10,171.5369
T1443,1,207.7071
T1362,1,211.5863
T1840,2,197.1761
T1353,1,263.3855
T1359,1,269.2851
